objectid,parentid,filename,youtube,title,speaker,panel-members,date,abstract,subject,location,type,format,language,object_location
nilc_011,panel-4,wetherington.mp4,https://youtu.be/RnXnyFmC6gg,Overexposed: Social Media and Three Fingers Lookout,Mark Wetherington,,2025-04-19,"Built in the 1930s, Three Fingers Lookout is an iconic yet remote shelter in Washington’s Boulder River Wilderness. Once preserved through low use and volunteer efforts, it now faces overcrowding, damage, and increased search-and-rescue incidents due to social media exposure. As a first-come, first-served site with limited regulation, visitor impacts—including waste issues and illegal drone use—have challenged both volunteers and the Forest Service. This presentation shares initial research, interviews, and insights into how Three Fingers highlights broader management issues facing public lands in the digital age.",three fingers lookout; social media; washington state; boulder river wilderness; overuse; search-and-rescue; public lands,University of Idaho Integrated Research and Innovation Center,image; moving image,video/mp4,eng,
nilc_012,panel-4,jones.mp4,https://youtu.be/dC3PV5W7Gds,Wylies Peak: Legend and Successor,Brayden Jones,,2025-04-19,"Nestled among vast peaks in the Selway-Bitterroot Wilderness, Wylies Peak Lookout, built in 1925, became legendary despite only nine years of service. Perched on a granite boulder, this 14x14-foot log cabin earned a place on the National Register of Historic Places as the first fire lookout to do so. In 1983, a lightning strike reduced the cabin to ash, leaving the boulder without its crown. This project unfolds in three phases: 1) analyzing the original cabin’s site and architecture; 2) proposing a “successor” cabin inspired by the original’s construction; and 3) creating a pilgrimage trail with habitable markers leading to the new structure, supported by visuals and models.",wylies peak lookout; selway-bitterroot wilderness; national register of historic places; typology; improvement; innovation; integration; architecture,University of Idaho Integrated Research and Innovation Center,image; moving image,video/mp4,eng,
nilc_013,panel-4,hammond.mp4,https://youtu.be/3xFVSLVtVeY,How Mabel Gray Became the First (But Not the Only) Lookout,Nancy Hammond,,2025-04-19,"By 1894, Idaho’s gold placers were depleted, and Governor Stuenenberg hoped the Clearwater country’s western white pine would draw lumbermen. Frederick Weyerhaeuser purchased 250,000 acres and formed the Clearwater Timber Company. In 1902, Theodore Fohl fashioned a lookout tree on Thunder Mountain, sending cook Mabel Gray up to spot fires—America’s first fire lookout. In response to the Yacolt Burn, Fohl formed timber protection associations, which aligned with efforts to organize the U.S. Forest Service. By 1913, Hallie Morse Daggett became the first female lookout for the Forest Service. Today, staffed fire lookouts are nearly extinct, raising the question: will future seminars remember both the first and last lookouts?",mabel gray; clearwater county; clearwater timber company; united states forest service; hallie morse dagget; frederick weyerhaeuser; theodore fohl; yacolt burn; frank steunenberg; thunder mountain lookout; timber protection associations; tpa,University of Idaho Integrated Research and Innovation Center,image; moving image,video/mp4,eng,
nilc_014,panel-5,morgan.mp4,https://youtu.be/wVHTUu_PAvY,"Fire and Climate: Past, Present, and Future",Penny Morgan,,2025-04-19,"How do we balance the need to protect people and property from f ires with the ecological realities and imperatives of forest and rangeland fires? Fires will occur, and we are likely to have more large, severe fires in the northern Rockies as climate changes. Extensive, widespread fires occurred in the past whenever warm, dry summers followed warm springs 1650-2003. Since 1986, fire seasons have become 78 days longer. With more people living in fire-prone areas and invasive species often fueling fires, fire managers and our society face many challenges. Idaho has often been a place for innovative solutions, both at the University of Idaho through education, research, and outreach, and in fire management.",rangeland fire; university of idaho; climate change; fire regimes; research; outreach; fire management; fuels inventory; environmental history; northern rockies,University of Idaho Integrated Research and Innovation Center,image; moving image,video/mp4,eng,
nilc_015,panel-5,kreikemer.mp4,https://youtu.be/O1fRKPHOe5I,The Cerro Grande Wildfire,Alyssa Kreikemeier,,2025-04-19,"From the 1980s to 2016, national politics, large wildfires, and federal-Indigenous relations created a complex administrative environment at Bandelier National Monument in New Mexico. The monument had a significant influence on fire and resource management, integrating archeologists into firefighting as early as 1977 and collecting long-term fire ecology data from ecologist Craig Allen’s arrival in 1982. Bandelier also hosted one of NPS’s first prescribed fire modules. The 2000 Cerro Grande wildfire, sparked by a prescribed burn, became New Mexico’s largest wildfire, leading to major investments in fire management and reigniting debates about fire policy. This talk explores the evolution of wildland fire management at Bandelier, focusing on the Cerro Grande wildfire.",fire management; cerro grande wildfire; national park service; environmental history; craig allen; bandelier national monument; new mexico,University of Idaho Integrated Research and Innovation Center,image; moving image,video/mp4,eng,
nilc_016,panel-5,koenig_lane.mp4,https://youtu.be/quKfEBK_IZw,Looking and Building for More Just Futures in the Climate Crisis at the Wildland Urban Interface,Emily Lane and Nick Koenig,,2025-04-19,"This talk features Emily Lane, an architectural designer at AECOM, and Nick Koenig, a climate change educator and activist, exploring how the climate crisis challenges architectural design while offering opportunities for more just futures. Nick will discuss the impact of intensified fire events due to settler fire regimes and shifting policies, from suppression to prescribed fire management. Emily will present a case study on the Fire Barracks at El Portal, a prefabricated structure for seasonal firefighters in Yosemite National Park, offering a replicable model for future fire management infrastructure. Finally, Nick will connect fire barracks and lookouts to climate projections, prison labor, and critical geography, reflecting on proactive versus reactive fire management.",yosemite national park; environmental justice; climate change; architecture; colonialism; prison labor; geography; fire management; fire regimes; improvement; innovation,University of Idaho Integrated Research and Innovation Center,image; moving image,video/mp4,eng,
nilc_017,panel-6,shearman.mp4,https://youtu.be/qeYKCknJVaQ,Echoes of Fire: Reimagining Lookouts as Sites of Memory and Reflection,Andrew Shearman,,2025-04-19,"This project reimagines the 1967 Sundance Fire lookouts as spaces for remembrance and reflection. Three sites embody the narrative of the fire. Sundance Peak features mirrored structures facing both the scorched and fertile landscapes. Hunt Peak, along the fire’s path, arranges lookouts along a ridgeline, symbolizing the fire’s journey. Roman Nose reimagines the harrowing experience of fire lookout Randy Langston, who took refuge behind a cliffside as the fire approached. These lookouts serve as architectural markers of remembrance, preserving the legacy of fire lookouts while reinterpreting their form as places of reflection.",sundance fire; roman nose peak lookout; hunt peak; architecture; typology; integration; innovation; improvement,University of Idaho Integrated Research and Innovation Center,image; moving image,video/mp4,eng,
nilc_018,panel-6,mcclure.mp4,https://youtu.be/F_mpHu1okug,Planning and Partnership and Plenty of Patience: Historic Preservation and High Rock Lookout,Rick McClure,,2025-04-19,"Located near Mount Rainier, High Rock Lookout is a 1931 L-4 model, listed as eligible for the National Register of Historic Places in 1987. Staffed until 2003, it deteriorated due to vandalism. In 2015, the local historical society, in partnership with the Sand Mountain Society (SMS), began efforts to restore the lookout. SMS, a volunteer-driven Oregon-based nonprofit, has restored over 12 historic lookouts since 1989. This presentation focuses on how planning processes have evolved in the High Rock Lookout restoration, highlighting the importance of an effective Historic Property Plan, adhering to the Secretary of the Interior’s Standards, and the roles of volunteers in project success.",sand mountain society; non-profit; mount ranier national park; architecture; improvement; restoration; lookout volunteer; high rock lookout; partnerships,University of Idaho Integrated Research and Innovation Center,image; moving image,video/mp4,eng,
nilc_019,panel-6,haugen.mp4,https://youtu.be/FX_ygsLCD4I,Restoring Fire Lookouts: A Step-by-Step Approach,Leif Haugen,,2025-04-19,"Since 1994, I have served as a fire lookout in Northwest Montana and led the management of 11 lookouts across the Flathead National Forest and Glacier National Park. With over 15 years of experience, I’ve restored or rehabilitated an average of two lookouts annually, combining carpentry expertise with fire lookout operations knowledge. This presentation will showcase one or two restoration projects, including one in Idaho, detailing the entire process—from assessment and budgeting to planning, logistics, and completion. I will discuss technical and administrative steps, key challenges, and best practices, supported by a visual narrative documenting each phase of restoration to ensure the preservation of these essential structures.",restoration; glacier national park; grave peak; carpentry; selway-bitterroot wilderness; flathead national forest,University of Idaho Integrated Research and Innovation Center,image; moving image,video/mp4,eng,
nilc_020,panel-7,moore.mp4,,"How to Restore, Establish, and Maintain a Volunteer Lookout Program",Bill Moore,Rene Eustace; Leif Haugen; Mike Forbes; Mark & Rhett Moak,2025-04-19,"This panel will provide a comprehensive overview of the processes and procedures required to create and maintain a successful fire lookout program. Led by key figures in the world of lookout programs, the discussion will highlight real-world experiences, challenges, and best practices from those who have worked extensively in this field.

**Bill Moore**, Founding Coordinator of the Diablo Volunteers Group, will discuss the issues, work, and communications involved in maintaining various lookout stations, including Salmon Mountain and Osier Lookout. He will explore the challenges faced in wilderness areas and how to minimize impact on federal lands while managing volunteer groups.

**Mike Forbes**, Volunteer Coordinator for Osier Lookout on the North Fork Ranger District, will provide insight into the differences between wilderness and non-wilderness lookout stations. He will also discuss the importance of developing and maintaining detailed ""seen area"" maps, a critical tool for fire detection and management.

**Rene Eustace**, a retired USFS Detection Specialist for the West Fork Ranger District, will focus on the planning and upkeep of lookouts, as well as maintaining communication between volunteers and district staff. Rene will also examine whether volunteers pose unique challenges for fire detection and station maintenance.

**Mark and Rhett Moak**, Lead Lookouts at West Fork RD, will share their experiences with volunteer lookouts as part of their crew. They will offer insight into common volunteer mistakes and how to ensure effective coordination and training.

**Leif Haugen**, an expert in lookout building maintenance and restoration, will discuss the preservation of historic lookout structures, including the Toma Lookout. He will explain what it takes to save a facility, who must oversee the work, and which tasks are beyond volunteer capabilities.

This panel offers a rare opportunity to learn from the diverse experiences of professionals dedicated to preserving fire lookout programs.",,,,,,
nilc_021,keynote,holm.mp4,,Fire Lookouts and Research,Richard Holm,,2025-04-19,"Richard H. Holm, Jr. is a commercial pilot and outdoor enthusiast with a deep interest in the state’s history, particularly its remote backcountry areas. He has written extensively on backcountry aviation and fire lookouts.

This lecture will discuss Idaho fire lookout research in relation to my past projects, including my latest book, In ***Selway Shadows: Last Flight of 148Z***, which connects fire lookouts to the US Forest Service’s deadliest aviation disaster in the Selway-Bitterroot Wilderness.",,,,,,
nilc_022,closing,moak.mp4,,Evolution of a Wilderness Lookout,Mark Moak,,2025-04-19,"**Mark Moak**, a Professor Emeritus of Art at Rocky Mountain College in Billings, Montana, is a photographer, artist, art historian, world traveler, musician, and a long-time fire lookout
with 45 seasons of experience.

**Closing Remarks:** Since 1980, my wife (Rhett) and I have served as USFS lookouts in five Primitive and Wilderness Areas. Over the years, we've witnessed changes in fire management, technologies, and lookout structures, but the remote lookout experience remains constant. We've adapted to evolving tools, built systems for water and solar power, and raised three children in these unique environments. Our work has led to a deep understanding of both the lifestyle and the role of fire lookouts in wilderness conservation.",,,,,,
